            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458808.500000000, A.D. 2019-Nov-21 00:00:00.0000, -9.161110967007839E-02,  2.991184508694790E-01,  3.284623173142402E-02, -3.254881305244203E-02, -7.202052049257415E-03,  2.397365310970705E-03,  1.816704122400902E-03,  3.145525679508824E-01,  2.881269266297813E-03,
2458809.500000000, A.D. 2019-Nov-22 00:00:00.0000, -1.236780616080595E-01,  2.905202424893428E-01,  3.508530729431215E-02, -3.154002076806450E-02, -9.967198520239820E-03,  2.078871165748068E-03,  1.834845478966045E-03,  3.176936464695664E-01,  3.393437502727956E-03,
2458810.500000000, A.D. 2019-Nov-23 00:00:00.0000, -1.546063704070698E-01,  2.792432283781196E-01,  3.700103207798441E-02, -3.027698884794626E-02, -1.255507047302005E-02,  1.751540135163572E-03,  1.855811517842241E-03,  3.213238035694193E-01,  3.858742241281146E-03,
2458811.500000000, A.D. 2019-Nov-24 00:00:00.0000, -1.841586030915977E-01,  2.654772165548681E-01,  3.858713512955803E-02, -2.879369021912326E-02, -1.494184298236890E-02,  1.420435577312214E-03,  1.879321278204285E-03,  3.253943923915649E-01,  4.273882573052553E-03,
2458812.500000000, A.D. 2019-Nov-25 00:00:00.0000, -2.121320858579834E-01,  2.494321542102712E-01,  3.984217980165121E-02, -2.712538620457708E-02, -1.711100791181116E-02,  1.090141154950908E-03,  1.905079219012894E-03,  3.298542415913163E-01,  4.637086925588451E-03,
2458813.500000000, A.D. 2019-Nov-26 00:00:00.0000, -2.383593869939836E-01,  2.313310394676610E-01,  4.076902884218784E-02, -2.530706488029971E-02, -1.905285701499155E-02,  7.646598156826553E-04,  1.932783581418272E-03,  3.346511032434696E-01,  4.947940333708839E-03,
2458814.500000000, A.D. 2019-Nov-27 00:00:00.0000, -2.627073957512308E-01,  2.114035064476064E-01,  4.137423570202439E-02, -2.337220246136234E-02, -2.076367507843562E-02,  4.473660991007572E-04,  1.962133611787612E-03,  3.397329034707466E-01,  5.207167559077929E-03,
2458815.500000000, A.D. 2019-Nov-28 00:00:00.0000, -2.850753351903266E-01,  1.898803066756655E-01,  4.166741129429403E-02, -2.135186962583530E-02, -2.224477475489077E-02,  1.410030230794748E-04,  1.992835471958484E-03,  3.450487657724480E-01,  5.416399519377773E-03,
2458816.500000000, A.D. 2019-Nov-29 00:00:00.0000, -3.053920471115882E-01,  1.669887871076899E-01,  4.166060541624162E-02, -1.927416352956285E-02, -2.350148494621872E-02, -1.522873569029436E-04,  2.024606806050731E-03,  3.505498017434208E-01,  5.577944694441407E-03,
2458817.500000000, A.D. 2019-Nov-30 00:00:00.0000, -3.236128537062558E-01,  1.429493667361265E-01,  4.136773093977018E-02, -1.716392031127591E-02, -2.454217681937679E-02, -4.309107327263658E-04,  2.057180038946183E-03,  3.561896821881163E-01,  5.694580444756066E-03,
2458818.500000000, A.D. 2019-Dec-01 00:00:00.0000, -3.397162482844107E-01,  1.179729441938765E-01,  4.080404839815078E-02, -1.504265080337234E-02, -2.537738274969423E-02, -6.937544462359349E-04,  2.090304549108671E-03,  3.619250133327144E-01,  5.769372851656455E-03,
2458819.500000000, A.D. 2019-Dec-02 00:00:00.0000, -3.537006086790117E-01,  9.225912654347219E-02,  3.998571975556650E-02, -1.292864066772340E-02, -2.601903817732776E-02, -9.401163520339964E-04,  2.123747892578297E-03,  3.677155487531613E-01,  5.805528528975654E-03,
2458820.500000000, A.D. 2019-Dec-03 00:00:00.0000, -3.655810703920958E-01,  6.599514980530766E-02,  3.892943335567448E-02, -1.083716151032063E-02, -2.647985666869151E-02, -1.169634384348867E-03,  2.157296263435717E-03,  3.735242691020885E-01,  5.806278126664106E-03,
2458821.500000000, A.D. 2019-Dec-04 00:00:00.0000, -3.753866473542092E-01,  3.935535882177495E-02,  3.765209729082931E-02, -8.780748384923596E-03, -2.677283476804308E-02, -1.382220639405086E-03,  2.190754366971438E-03,  3.793173601487575E-01,  5.774788877718682E-03,
2458822.500000000, A.D. 2019-Dec-05 00:00:00.0000, -3.831576485284088E-01,  1.250112206671233E-02,  3.617059545198924E-02, -6.769509017612326E-03, -2.691087482496179E-02, -1.578002188190169E-03,  2.223944862410726E-03,  3.850641162898693E-01,  5.714102285614199E-03,
2458823.500000000, A.D. 2019-Dec-06 00:00:00.0000, -3.889434087189932E-01, -1.441892876246466E-02,  3.450159894171172E-02, -4.811439506624528E-03, -2.690650974655709E-02, -1.757269623923092E-03,  2.256707507916815E-03,  3.907367925114572E-01,  5.627092611127540E-03,
2458824.500000000, A.D. 2019-Dec-07 00:00:00.0000, -3.928003308779073E-01, -4.126842764008676E-02,  3.266142498039557E-02, -2.912729350312827E-03, -2.677171233748861E-02, -1.920433500550564E-03,  2.288898115606440E-03,  3.963104234554380E-01,  5.516441914880117E-03,
2458825.500000000, A.D. 2019-Dec-08 00:00:00.0000, -3.947902234302231E-01, -6.792264771108117E-02,  3.066593557432381E-02, -1.078045131896865E-03, -2.651777249512110E-02, -2.067988273908825E-03,  2.320387400872451E-03,  4.017626241859958E-01,  5.384627818391770E-03,
2458826.500000000, A.D. 2019-Dec-09 00:00:00.0000, -3.949789080353128E-01, -9.426777955010465E-02,  2.853046877467063E-02,  6.892129300323987E-04, -2.615522719541519E-02, -2.200483045816568E-03,  2.351059789697355E-03,  4.070733836823253E-01,  5.233920696881300E-03,
2458827.500000000, A.D. 2019-Dec-10 00:00:00.0000, -3.934350692562952E-01, -1.202001603251896E-01,  2.626979613985332E-02,  2.386683874241643E-03, -2.569383035118168E-02, -2.318498267298091E-03,  2.380812230350892E-03,  4.122248590904441E-01,  5.066387602146931E-03,
2458828.500000000, A.D. 2019-Dec-11 00:00:00.0000, -3.902293165577859E-01, -1.456254882162153E-01,  2.389810088078627E-02,  4.012848295624729E-03, -2.514255186646129E-02, -2.422627525122711E-03,  2.409553041887484E-03,  4.172011763467068E-01,  4.883900768338182E-03,
2458829.500000000, A.D. 2019-Dec-12 00:00:00.0000, -3.854334298888128E-01, -1.704580468357856E-01,  2.142897203004224E-02,  5.566858538047242E-03, -2.450959732404678E-02, -2.513463573241267E-03,  2.437200820909354E-03,  4.219882408897072E-01,  4.688149043638378E-03,
2458830.500000000, A.D. 2019-Dec-13 00:00:00.0000, -3.791197620830165E-01, -1.946199567948998E-01,  1.887541077858064E-02,  7.048394431507813E-03, -2.380244161291490E-02, -2.591587846630298E-03,  2.463683419722240E-03,  4.265735607334236E-01,  4.480651004056565E-03,
2458831.500000000, A.D. 2019-Dec-14 00:00:00.0000, -3.713607738846799E-01, -2.180404656787265E-01,  1.624984584029360E-02,  8.457541831022651E-03, -2.302787138607246E-02, -2.657562788432136E-03,  2.488937002833335E-03,  4.309460831049026E-01,  4.262768841568370E-03,
2458832.500000000, A.D. 2019-Dec-15 00:00:00.0000, -3.622286802195738E-01, -2.406552832605973E-01,  1.356415532501933E-02,  9.794691118071994E-03, -2.219203253798258E-02, -2.711926418539502E-03,  2.512905184297112E-03,  4.350960450803176E-01,  4.035722384476640E-03,
2458833.500000000, A.D. 2019-Dec-16 00:00:00.0000, -3.517951891357816E-01, -2.624059655108729E-01,  1.082969312542444E-02,  1.106045291504130E-02, -2.130047992875739E-02, -2.755188664813276E-03,  2.535538245324610E-03,  4.390148381182174E-01,  3.800602812846885E-03,
2458834.500000000, A.D. 2019-Dec-17 00:00:00.0000, -3.401313174969732E-01, -2.832393486079059E-01,  8.057318258907584E-03,  1.225558846044983E-02, -2.035822739460195E-02, -2.787829062603661E-03,  2.556792429515778E-03,  4.426948860327878E-01,  3.558385786683061E-03,
2458835.500000000, A.D. 2019-Dec-18 00:00:00.0000, -3.273072699399086E-01, -3.031070325239982E-01,  5.257425962076983E-03,  1.338095234413160E-02, -1.936979670805151E-02, -2.810295502298876E-03,  2.576629311791803E-03,  4.461295357278724E-01,  3.309943819058650E-03,
2458836.500000000, A.D. 2019-Dec-19 00:00:00.0000, -3.133923697742352E-01, -3.219649126698417E-01,  2.439979623102906E-03,  1.443744557155811E-02, -1.833926462299694E-02, -2.823003767920996E-03,  2.595015236388286E-03,  4.493129598885068E-01,  3.056057809430315E-03,
2458837.500000000, A.D. 2019-Dec-20 00:00:00.0000, -2.984550323992446E-01, -3.397727574000530E-01, -3.854571331350492E-04,  1.542597719303863E-02, -1.727030748996071E-02, -2.826337662878289E-03,  2.611920818960482E-03,  4.522400707731137E-01,  2.797427711176632E-03,
2458838.500000000, A.D. 2019-Dec-21 00:00:00.0000, -2.825627734497057E-01, -3.564938288028937E-01, -3.209688710957915E-03,  1.634743298370617E-02, -1.616624318342066E-02, -2.820649562879469E-03,  2.627320507826634E-03,  4.549064442451412E-01,  2.534682347993485E-03,
2458839.500000000, A.D. 2019-Dec-22 00:00:00.0000, -2.657822452813423E-01, -3.720945440364152E-01, -6.023856523277637E-03,  1.720264988734355E-02, -1.503007026727586E-02, -2.806261271912295E-03,  2.641192199543726E-03,  4.573082532120674E-01,  2.268388420880025E-03,
2458840.500000000, A.D. 2019-Dec-23 00:00:00.0000, -2.481792965905316E-01, -3.865441744682628E-01, -8.819408937865564E-03,  1.799239513864108E-02, -1.386450445458215E-02, -2.783465086302531E-03,  2.653516904304947E-03,  4.594422096907675E-01,  1.999058764756756E-03,
2458841.500000000, A.D. 2019-Dec-24 00:00:00.0000, -2.298190509581664E-01, -3.998145799802580E-01, -1.158807236107516E-02,  1.871734915437692E-02, -1.267201250749072E-02, -2.752524995344040E-03,  2.664278457021816E-03,  4.613055147829342E-01,  1.727159924095117E-03,
2458842.500000000, A.D. 2019-Dec-25 00:00:00.0000, -2.107660009393386E-01, -4.118799759771268E-01, -1.432182356786394E-02,  1.937809143574931E-02, -1.145484378384320E-02, -2.713677965855841E-03,  2.673463270372395E-03,  4.628958159167016E-01,  1.453119122444993E-03,
2458843.500000000, A.D. 2019-Dec-26 00:00:00.0000, -1.910841150116253E-01, -4.227167308664669E-01, -1.701286334216595E-02,  1.997508885395796E-02, -1.021505967653217E-02, -2.667135273175852E-03,  2.681060126537345E-03,  4.642111707868610E-01,  1.177330703015235E-03,
2458844.500000000, A.D. 2019-Dec-27 00:00:00.0000, -1.708369552658414E-01, -4.323031920367453E-01, -1.965359146050018E-02,  2.050868580179056E-02, -8.954561216957828E-03, -2.613083853313342E-03,  2.687060004792545E-03,  4.652500175034477E-01,  9.001621176716408E-04,
2458845.500000000, A.D. 2019-Dec-28 00:00:00.0000, -1.500878041920114E-01, -4.406195386399056E-01, -2.223658303154903E-02,  2.097909578817910E-02, -7.675115129568187E-03, -2.551687660903875E-03,  2.691455942571338E-03,  4.660111505354155E-01,  6.219595407236079E-04,
2458846.500000000, A.D. 2019-Dec-29 00:00:00.0000, -1.288997992950772E-01, -4.476476597773954E-01, -2.475456619329787E-02,  2.138639413315241E-02, -6.378378634228259E-03, -2.483089025788918E-03,  2.694242928046210E-03,  4.664937021117309E-01,  3.430531822958496E-04,
2458847.500000000, A.D. 2019-Dec-30 00:00:00.0000, -1.073360745819621E-01, -4.533710569886401E-01, -2.720040116568838E-02,  2.173051148990056E-02, -5.065923299768696E-03, -2.407410007938383E-03,  2.695417822706671E-03,  4.666971288161473E-01,  6.376237436271550E-05,
2458848.500000000, A.D. 2019-Dec-31 00:00:00.0000, -8.545990820399366E-02, -4.577747702471129E-01, -2.956706065951709E-02,  2.201122798120559E-02, -3.739258257564639E-03, -2.324753756437433E-03,  2.694979312827566E-03,  4.666212031842055E-01, -2.155994990330377E-04,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -6.333487572394930E-02, -4.608453269808703E-01, -3.184761165078634E-02,  2.222816779156590E-02, -2.399853089908365E-03, -2.235205883702246E-03,  2.692927889131459E-03,  4.662660101818840E-01, -4.947201570437497E-04,
